,id,date,from_id,to_id,fwd_from,message,type,duration
31,2293890,2022-11-18 13:59:00+00:00,PeerUser(user_id=1297104908),PeerChannel(channel_id=1234644047),,Диверсант в Росгвардии?🤣,text,
32,2293889,2022-11-18 13:59:00+00:00,PeerUser(user_id=466132917),PeerChannel(channel_id=1234644047),,Че за бред? 😂,text,
33,2293888,2022-11-18 13:58:40+00:00,PeerUser(user_id=5057662343),PeerChannel(channel_id=1234644047),,Бедное животное вв с детства принимает .В хавку подмешивают,text,
34,2293886,2022-11-18 13:58:18+00:00,PeerUser(user_id=637860591),PeerChannel(channel_id=1234644047),,Патрон был использован🚬,text,
35,2293885,2022-11-18 13:58:08+00:00,PeerUser(user_id=1292195388),PeerChannel(channel_id=1234644047),,"Жалко собачку, находится в рабстве у свиней",text,
36,2293884,2022-11-18 13:58:08+00:00,PeerUser(user_id=5188245701),PeerChannel(channel_id=1234644047),,"Малыш, знал бы ты, какому злу служишь...",text,
37,2293882,2022-11-18 13:58:03+00:00,PeerUser(user_id=1595756171),PeerChannel(channel_id=1234644047),,Хазазазпхазпхах,text,
38,2293881,2022-11-18 13:57:56+00:00,PeerUser(user_id=820228980),PeerChannel(channel_id=1234644047),,Забавный пёс,text,
39,2293877,2022-11-18 13:57:18+00:00,PeerUser(user_id=1298567640),PeerChannel(channel_id=1234644047),,,video,4
40,2293875,2022-11-18 13:57:05+00:00,PeerUser(user_id=5724934403),PeerChannel(channel_id=1234644047),,На самом деле Джеки ахуенные песики!),text,
41,2293874,2022-11-18 13:57:04+00:00,PeerUser(user_id=878124003),PeerChannel(channel_id=1234644047),,Собака не выбирает на какой стороне ей служить,text,
42,2293871,2022-11-18 13:56:30+00:00,PeerUser(user_id=466132917),PeerChannel(channel_id=1234644047),,Джек Рассел,text,
43,28408,2022-11-18 13:32:47+00:00,,PeerChannel(channel_id=1387701698),,"Товарищи Росичи 

Вопрос, где можно сейчас шлем взять? 

@rosich_ru",text,
44,2294163,2022-11-18 14:49:58+00:00,PeerUser(user_id=5516152467),PeerChannel(channel_id=1234644047),,"Паниковать перестаем товарищи. Тут такая же тема как и с маски при ковиде. Когда они не нужны были их было много, как вдруг всем понадобились , то все уже разобрали , сейчас сделают производственный буфер сделают и наладят массовый выпуск и будет все норм.",text,
45,2294159,2022-11-18 14:49:02+00:00,PeerUser(user_id=300238317),PeerChannel(channel_id=1234644047),,У атласа очередь надолго вперёд,text,
46,2294149,2022-11-18 14:47:44+00:00,PeerUser(user_id=5516152467),PeerChannel(channel_id=1234644047),,Кого кирзачом уебать то ? Может тебя чтоб на завод пошел их делать ? Кто делает давно уже там в три смены херачат.,text,
47,2293929,2022-11-18 14:06:37+00:00,PeerUser(user_id=498785668),PeerChannel(channel_id=1234644047),,"Оригинал,  с которого он у вам не очень точно срисован, находится в Эрмитаже!",text,
48,2293913,2022-11-18 14:02:41+00:00,PeerUser(user_id=304812525),PeerChannel(channel_id=1234644047),,С мозгами,text,
49,2293903,2022-11-18 14:00:33+00:00,PeerUser(user_id=2041522828),PeerChannel(channel_id=1234644047),,С мертвого хохла🤙,text,
50,2293870,2022-11-18 13:55:41+00:00,PeerUser(user_id=1990579175),PeerChannel(channel_id=1234644047),,Для наших мобилизованных это каски 41 года и то кому повезет😥уже видели видео и фото,text,
51,2293869,2022-11-18 13:55:39+00:00,PeerUser(user_id=5696976090),PeerChannel(channel_id=1234644047),,У нас жиды. Помогаем - мы граждане своей страны. И не все богаты.,text,
52,2293864,2022-11-18 13:53:58+00:00,PeerUser(user_id=5609517995),PeerChannel(channel_id=1234644047),,From dead ukrop.,text,
53,2293861,2022-11-18 13:52:47+00:00,PeerUser(user_id=5604024629),PeerChannel(channel_id=1234644047),,"Потомучто их снабжает западный ""цивилизованный"" мир. Война в первую очередь война экономик",text,
54,2293860,2022-11-18 13:52:36+00:00,PeerUser(user_id=225289294),PeerChannel(channel_id=1234644047),,В Иране,text,
55,2293859,2022-11-18 13:52:16+00:00,PeerUser(user_id=487962234),PeerChannel(channel_id=1234644047),,Правда ехать ему с Владивостока долго 🤷🏼‍♂️,text,
56,2293858,2022-11-18 13:51:31+00:00,PeerUser(user_id=426077399),PeerChannel(channel_id=1234644047),,"это для наших, мобилизованных",text,
57,2293856,2022-11-18 13:51:13+00:00,PeerUser(user_id=487962234),PeerChannel(channel_id=1234644047),,https://www.farpost.ru/vladivostok/clothes/overall/shlem-obshevojskovoj-6b47-ratnik-70864093.html,text,
58,2293854,2022-11-18 13:49:59+00:00,PeerUser(user_id=1570224665),PeerChannel(channel_id=1234644047),,Читал где то что Потанин ежемесячно выделяет средства для СВО. Но не факт,text,
59,2293852,2022-11-18 13:49:41+00:00,PeerUser(user_id=5183745974),PeerChannel(channel_id=1234644047),,"У нас проблемы в пиджаках сидят в кабинетах, килограмм так на 150 проблемы😉",text,
60,2293851,2022-11-18 13:49:16+00:00,PeerUser(user_id=5237799192),PeerChannel(channel_id=1234644047),,"Мобилизоваться🫡 Там и шлем, и автомат дадут.",text,
61,2293849,2022-11-18 13:48:49+00:00,PeerUser(user_id=2024022652),PeerChannel(channel_id=1234644047),,"У хохлов, их местные олигархи, на охрененные суммы, закупает комплекты снаряжения для ВСУк на сотни тысяч голов. Кто-нибудь слышал о чём-то подобном от ""наших"" буржуев для российских бойцов⁉️ Вот и ответ.",text,
62,2293848,2022-11-18 13:48:23+00:00,PeerUser(user_id=5604024629),PeerChannel(channel_id=1234644047),,У меня есть.я за лентой только,text,
63,2293847,2022-11-18 13:48:01+00:00,PeerUser(user_id=5183745974),PeerChannel(channel_id=1234644047),,"Я думаю они уже дырявые, кателок в таких простудить можно😁",text,
64,2293846,2022-11-18 13:47:25+00:00,PeerUser(user_id=135681906),PeerChannel(channel_id=1234644047),,В личку напиши. Завтра отдам. Mich черный. Лежит без дела. У меня Fast для себя есть. В МСК,text,
65,2293842,2022-11-18 13:46:06+00:00,PeerUser(user_id=5183745974),PeerChannel(channel_id=1234644047),,"Не кажется, качество этого за 3 копейки унылого говна, а не легче ли ПИНОК КЕРЗАЧЁМ УЕ**ТЬ СВОМ ЧТОБЫ ДЕЛАТЬ НАЧАЛИ? Как такая идея ммм?😉",text,
66,2293839,2022-11-18 13:45:25+00:00,PeerUser(user_id=1168297146),PeerChannel(channel_id=1234644047),,"Да проблем хватает. Интересно, они решаются, хоть маленькими шагами.",text,
67,2293837,2022-11-18 13:44:53+00:00,PeerUser(user_id=738617671),PeerChannel(channel_id=1234644047),,"В пасадке под новой каменкой (Херсонская область) там много можно шлемов образца ""НАТО надыбать координаты х5225401 у 6545112",text,
